city,country,population,latitude,longitude
Tokyo,Japan,13960000,35.68,139.69
Delhi,India,32940000,28.61,77.21
Shanghai,China,28517000,31.23,121.47
"São Paulo",Brazil,22429000,-23.55,-46.63
"Mexico City",Mexico,22418000,19.43,-99.13
Cairo,Egypt,21750000,30.04,31.24
Mumbai,India,20961000,19.08,72.88
Beijing,China,20489000,39.90,116.41
Dhaka,Bangladesh,22310000,23.81,90.41
Osaka,Japan,19070000,34.69,135.50
"New York",United States,18713000,40.71,-74.01
Karachi,Pakistan,17400000,24.86,67.01
"Buenos Aires",Argentina,15370000,-34.61,-58.38
Chongqing,China,16410000,29.43,106.91
Istanbul,Turkey,15840000,41.01,28.98
Kolkata,India,14979000,22.57,88.36
Manila,Philippines,13923000,14.60,120.98
Lagos,Nigeria,15388000,6.52,3.38
"Rio de Janeiro",Brazil,13634000,-22.91,-43.17
Tianjin,China,14060000,39.34,117.36
Kinshasa,DR Congo,15674000,-4.44,15.27
Guangzhou,China,13916000,23.13,113.26
"Los Angeles",United States,12705000,34.05,-118.24
Moscow,Russia,12506000,55.76,37.62
Shenzhen,China,12530000,22.54,114.06
Lahore,Pakistan,13095000,31.55,74.34
Bangalore,India,13193000,12.97,77.59
Paris,France,11020000,48.86,2.35
Bogotá,Colombia,11167000,4.71,-74.07
Jakarta,Indonesia,11584000,-6.21,106.85
Chennai,India,11503000,13.08,80.27
Lima,Peru,11204000,-12.05,-77.04
Bangkok,Thailand,10722000,13.76,100.50
Seoul,South Korea,9960000,37.57,126.98
London,United Kingdom,9540000,51.51,-0.13
Tehran,Iran,9259000,35.69,51.39
"Hong Kong",China,7482000,22.32,114.17
Sydney,Australia,5312000,-33.87,151.21
Berlin,Germany,3645000,52.52,13.41
Toronto,Canada,6313000,43.65,-79.38
Madrid,Spain,6713000,40.42,-3.70
Rome,Italy,4316000,41.90,12.50
Vienna,Austria,1930000,48.21,16.37
Amsterdam,Netherlands,1166000,52.37,4.90
Stockholm,Sweden,1632000,59.33,18.07
Dubai,UAE,3504000,25.20,55.27
Singapore,Singapore,5917000,1.35,103.82
Zurich,Switzerland,421000,47.38,8.54
"Cape Town",South Africa,4710000,-33.92,18.42
"Buenos Aires",Argentina,15370000,-34.61,-58.38
Athens,Greece,3154000,37.98,23.73
Lisbon,Portugal,2956000,38.72,-9.14
Prague,Czech Republic,1335000,50.08,14.44
Budapest,Hungary,1751000,47.50,19.04
Warsaw,Poland,1794000,52.23,21.01
Helsinki,Finland,658000,60.17,24.94
Oslo,Norway,697000,59.91,10.75
Copenhagen,Denmark,1346000,55.68,12.57
Reykjavik,Iceland,131000,64.13,-21.82
